Date,Open,High,Low,Close,Adj Close,Volume
2017-02-20,85.400002,85.980003,85.209999,85.910004,66.362366,2384410
2017-02-21,85.959999,86.089996,85.610001,85.940002,66.385536,3305349
2017-02-22,83.820000,83.900002,83.330002,83.709999,66.195747,7963927
2017-02-23,83.599998,83.779999,83.260002,83.480003,66.013878,3228480
2017-02-24,83.209999,83.610001,82.820000,83.019997,65.650116,4220843
2017-02-27,82.589996,82.900002,81.949997,82.239998,65.033310,3312611
2017-02-28,82.489998,83.089996,82.150002,82.320000,65.096565,3728828
2017-03-01,81.980003,82.809998,81.750000,82.809998,65.484047,2778610
2017-03-02,83.900002,84.040001,83.519997,83.860001,66.314354,2440705
2017-03-03,83.400002,83.540001,82.849998,83.199997,65.792465,1754994
2017-03-06,83.750000,83.800003,82.900002,83.500000,66.029686,1419448
2017-03-07,83.400002,83.720001,83.040001,83.540001,66.061310,2161261
2017-03-08,83.500000,83.669998,83.029999,83.230003,65.816177,2020119
2017-03-09,83.230003,83.860001,83.050003,83.529999,66.053406,1824392
2017-03-10,83.900002,84.500000,83.769997,84.500000,66.820457,3148541
2017-03-13,84.500000,84.500000,84.019997,84.300003,66.662300,1510473
2017-03-14,84.300003,84.489998,84.019997,84.489998,66.812553,2388381
2017-03-15,84.389999,84.879997,84.070000,84.820000,67.073502,2187578
2017-03-16,84.989998,85.199997,84.050003,84.540001,66.852081,5042921
2017-03-17,84.699997,84.989998,84.339996,84.769997,67.033974,2872248
2017-03-20,84.400002,84.629997,84.029999,84.430000,66.765099,1200277
2017-03-21,84.389999,84.419998,83.889999,84.419998,66.757202,1817155
2017-03-22,83.260002,83.400002,82.480003,82.709999,65.404976,3185116
2017-03-23,82.599998,82.949997,82.309998,82.949997,65.594765,2794213
2017-03-24,83.000000,83.889999,82.680000,83.379997,65.934799,2079658
2017-03-27,82.739998,83.599998,82.500000,83.400002,65.950607,2770782
2017-03-28,83.750000,85.260002,83.724998,85.260002,67.421448,4359013
2017-03-29,85.400002,86.279999,85.349998,86.139999,68.117332,3605758
2017-03-30,86.129997,86.599998,85.599998,86.519997,68.417809,2691755
2017-03-31,86.160004,86.650002,85.910004,85.910004,67.935455,5692472
2017-04-03,85.430000,86.440002,85.260002,86.389999,68.315033,1753298
2017-04-04,86.120003,86.260002,85.580002,85.930000,67.951256,1752542
2017-04-05,86.489998,86.519997,85.349998,85.989998,67.998703,3171203
2017-04-06,85.500000,85.620003,84.449997,84.790001,67.049767,2770424
2017-04-07,85.199997,85.519997,84.089996,84.769997,67.033974,2630263
2017-04-10,85.209999,85.500000,84.970001,85.489998,67.603317,2156492
2017-04-11,85.580002,86.339996,85.269997,86.099998,68.085709,2693938
2017-04-12,86.370003,86.680000,85.980003,86.680000,68.544350,2830371
